study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;; 
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22847373;SAMN32343646;MJ-1065;MJ-1065;=VLOOKUP($A97,[1]SRA_data!$A:$M,2,FALSE);Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA989574;03/07/2023;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;SRR25098097;SAMN36175531;;;GSM7520390;cDNA;TRANSCRIPTOMIC;RNA-Seq;Snap-frozen PA specimens were subjected to TRIzol-RNA extraction. RNA quality was assessed by measuring the RNA integrity number (RIN) using a Fragment Analyzer HS Total RNA Kit (Advanced Analytical Technologies, Inc.). Library preparation for total RNA-Seq was performed using TruSeq™ Stranded Total RNA with Ribo-Zero Gold (Illumina, Cat. Nr. RS-122-2301) starting from 1000 ng of total RNA. The size range of the final cDNA libraries was determined by applying the SS NGS Fragment 1- to 6000-bp Kit on the Fragment Analyzer (average 340 bp). Accurate quantification of cDNA libraries was performed by using the QuantiFluor™ dsDNA System (Promega).;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM7520390: PH-LHD_5 Homo sapiens RNA-Seq;;;Artery - Pulmonary trunk;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363169;SAMN26788769;37_PRE;37_PRE;GSM5960677;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960677: 37_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA726237;17/11/2021;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;Ischemic heart disease selectively modifies the right atrial appendage transcriptome;SRR14362372;SAMN18926164;(ICA)-positive IHD undergoing coronary artery bypass surgery, 22-04-15-HTJ;(ICA)-positive IHD undergoing coronary artery bypass surgery, 22-04-15-HTJ;;cDNA;TRANSCRIPTOMIC;RNA-Seq;During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;Heart (Atrial Appendage);;;;;Illumina HiSeq 4000 sequencing: GSM5271549: (ICA)-positive IHD undergoing coronary artery bypass surgery, 22-04-15-HTJ Homo sapiens RNA-Seq;;non-cancer disease;Heart - Atrial appendage;;
PRJNA695543;01/02/2021;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;SRR13572916;SAMN17616059;NAT Rep11;NAT Rep11;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated using TRIzol reagent (Invitrogen) according to the manufacturer's instructions. The purity of extracted RNA was measured using a NanoDrop ND-1000 spectrophotometer (NanoDrop Technologies, Inc., Wilmington, DE) and the concentration was assessed with Qubit 2.0 Fluorometer (Agilent Technologies, Santa Clara, CA) using an RNA HS Assay Kit. Samples with RNA Integrity Number (RIN) greater than 4 as assessed by a BioAnalyzer (Agilent) with no visible sign of genomic DNA contamination from the HS Nanochip tracings were used for total RNA library generation. RNA-seq libraries were prepared using the Illumina TruSeq Stranded Total RNA Sample Prep Kit with Ribo-Zero Gold (catalog #RS-122-2201) according to the manufacturer protocol. The sequencing was performed in paired end manner, generating 2 X 100 bp paired-end reads using the Illumina HiSeq 2500 system. Pre-alignment data QC were assessed with FastQC. Post-alignment data quality was assessed with an in-house quality control pipeline/database for RNA-seq database (14). RNA-seq data were trimmed for any adapter sequences using Adapter Removal (15).;PAIRED;;ILLUMINA;;;;;"Normal appearing thyroid tissue adjacent to PTC tumor;Thyroid";;;;;Illumina HiSeq 2500 sequencing: GSM5048770: T Rep14 Homo sapiens RNA-Seq;;tumor-adjacent;Thyroid Gland;;
PRJDB12535;03/12/2021;RNA-seq of HCCs;Homo sapiens;DRR326890;SAMD00414257;HCC-300N;normal;;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;;;;;;NextSeq 500 paired end sequencing: NextSeq 500 paired end sequencing of SAMD00414269;;;Liver;;
PRJEB43164;21/05/2023;Bulk RNA-seq of paired human brown and white adipocytes;Bulk RNA-seq of paired human brown and white adipocytes;ERR5320467;SAMEA8103245;92_B_0;Protocols: Human adipose tissue was obtained from the central compartment of the neck, superior to the clavicle and deep to the lateral thyroid lobe either adjacent to the longus colli muscle or to the oesophagus (brown adipose tissue BAT) and more superficially from the subcutaneous neck tissue (white adipose tissue WAT). The stromal vascular fraction was isolated and cultured as described (Ramage, Akyol et al. 2016 doi: 10.1016/j.cmet.2016.06.011). Following differentiation, cells were cultured in serum-stripped medium for 48 hours prior to RNA extraction and subsequent bulk RNA-seq. Sample 91 – age (years): 41 sex: female height (m): 1.52 weight (Kg): 63.5 BMI (kg/m2): 27.48 Sample 92 – age (years): 59 sex: female height (m): 1.57 weight (Kg): 60.4 BMI (kg/m2): 24.50 Sample 93 – age (years): 52 sex: female height (m): 1.70 weight (Kg): 114 BMI (kg/m2): 39.45 Sample 95 – age (years): 50 sex: female height (m): 1.72 weight (Kg): 66 BMI (kg/m2): 22.31 Total RNA samples were assessed on the Agilent Bioanalyser (Agilent Technologies, #G2939AA) with the RNA 6000 Nano Kit (#5067-1511) for quality and integrity of total RNA. Samples were DNase-treated using the TURBO DNA-free™ kit (Thermo Fisher, #AM1907) and then quantified using the Qubit 2.0 Fluorometer (Thermo Fisher Scientific Inc, #Q32866) and the Qubit RNA BR assay kit (#Q10210), and assessed for residual DNA contamination using the Qubit dsDNA HS assay Kit (catalogue # Q32851). Libraries were prepared from each TURBO™ DNase treated total-RNA sample using the TruSeq Stranded Total RNA with Ribo-Zero kit (#RS-122-2201) according to the provided protocol. 100ng of total-RNA was processed to deplete rRNA before being purified, fragmented and primed with random hexamers. Primed RNA fragments were reverse transcribed into first strand cDNA using reverse transcriptase and random primers. RNA templates were removed and a replacement strand synthesised incorporating dUTP in place of dTTP to generate ds cDNA. AMPure XP beads (Beckman Coulter, #A63881) were then used to separate the ds cDNA from the second strand reaction mix, providing blunt-ended cDNA. A single 'A' nucleotide was added to the 3' ends of the blunt fragments to prevent them from ligating to another during the subsequent adapter ligation reaction, and a corresponding single 'T' nucleotide on the 3' end of the adapter provided a complementary overhang for ligating the adapter to the fragment. Multiple indexing adapters were then ligated to the ends of the ds cDNA to prepare them for hybridisation onto a flow cell, before 15 cycles of PCR were used to selectively enrich those DNA fragments that had adapter molecules on both ends and amplify the amount of DNA in the library suitable for sequencing. Libraries were quantified using the Qubit dsDNA HS kit and by PCR using the Kapa Universal Illumina Library Quantification kit complete kit (#KK4824) and assessed for quality using the Agilent Bioanalyser with the DNA HS Kit.;92_B_0_p;RT-PCR;GENOMIC;RNA-Seq;Human adipose tissue was obtained from the central compartment of the neck, superior to the clavicle and deep to the lateral thyroid lobe either adjacent to the longus colli muscle or to the oesophagus (brown adipose tissue BAT) and more superficially from the subcutaneous neck tissue (white adipose tissue WAT). The stromal vascular fraction was isolated and cultured as described (Ramage, Akyol et al. 2016 doi: 10.1016/j.cmet.2016.06.011). Following differentiation, cells were cultured in serum-stripped medium for 48 hours prior to RNA extraction and subsequent bulk RNA-seq. Sample 91 – age (years): 41 sex: female height (m): 1.52 weight (Kg): 63.5 BMI (kg/m2): 27.48 Sample 92 – age (years): 59 sex: female height (m): 1.57 weight (Kg): 60.4 BMI (kg/m2): 24.50 Sample 93 – age (years): 52 sex: female height (m): 1.70 weight (Kg): 114 BMI (kg/m2): 39.45 Sample 95 – age (years): 50 sex: female height (m): 1.72 weight (Kg): 66 BMI (kg/m2): 22.31 Total RNA samples were assessed on the Agilent Bioanalyser (Agilent Technologies, #G2939AA) with the RNA 6000 Nano Kit (#5067-1511) for quality and integrity of total RNA. Samples were DNase-treated using the TURBO DNA-free™ kit (Thermo Fisher, #AM1907) and then quantified using the Qubit 2.0 Fluorometer (Thermo Fisher Scientific Inc, #Q32866) and the Qubit RNA BR assay kit (#Q10210), and assessed for residual DNA contamination using the Qubit dsDNA HS assay Kit (catalogue # Q32851). Libraries were prepared from each TURBO™ DNase treated total-RNA sample using the TruSeq Stranded Total RNA with Ribo-Zero kit (#RS-122-2201) according to the provided protocol. 100ng of total-RNA was processed to deplete rRNA before being purified, fragmented and primed with random hexamers. Primed RNA fragments were reverse transcribed into first strand cDNA using reverse transcriptase and random primers. RNA templates were removed and a replacement strand synthesised incorporating dUTP in place of dTTP to generate ds cDNA. AMPure XP beads (Beckman Coulter, #A63881) were then used to separate the ds cDNA from the second strand reaction mix, providing blunt-ended cDNA. A single 'A' nucleotide was added to the 3' ends of the blunt fragments to prevent them from ligating to another during the subsequent adapter ligation reaction, and a corresponding single 'T' nucleotide on the 3' end of the adapter provided a complementary overhang for ligating the adapter to the fragment. Multiple indexing adapters were then ligated to the ends of the ds cDNA to prepare them for hybridisation onto a flow cell, before 15 cycles of PCR were used to selectively enrich those DNA fragments that had adapter molecules on both ends and amplify the amount of DNA in the library suitable for sequencing. Libraries were quantified using the Qubit dsDNA HS kit and by PCR using the Kapa Universal Illumina Library Quantification kit complete kit (#KK4824) and assessed for quality using the Agilent Bioanalyser with the DNA HS Kit.;PAIRED;;ILLUMINA;;;;;;;;;;NextSeq 550 sequencing: Bulk RNA-seq of paired human brown and white adipocytes;;cultured cells;Adipose - Subcutaneous;;
PRJNA695543;01/02/2021;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;Transcriptome analysis discloses dysregulated genes in normal appearing tumor-adjacent thyroid tissues from patients with papillary thyroid carcinoma;SRR13572942;SAMN17616046;NAT Rep31;NAT Rep31;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated using TRIzol reagent (Invitrogen) according to the manufacturer's instructions. The purity of extracted RNA was measured using a NanoDrop ND-1000 spectrophotometer (NanoDrop Technologies, Inc., Wilmington, DE) and the concentration was assessed with Qubit 2.0 Fluorometer (Agilent Technologies, Santa Clara, CA) using an RNA HS Assay Kit. Samples with RNA Integrity Number (RIN) greater than 4 as assessed by a BioAnalyzer (Agilent) with no visible sign of genomic DNA contamination from the HS Nanochip tracings were used for total RNA library generation. RNA-seq libraries were prepared using the Illumina TruSeq Stranded Total RNA Sample Prep Kit with Ribo-Zero Gold (catalog #RS-122-2201) according to the manufacturer protocol. The sequencing was performed in paired end manner, generating 2 X 100 bp paired-end reads using the Illumina HiSeq 2500 system. Pre-alignment data QC were assessed with FastQC. Post-alignment data quality was assessed with an in-house quality control pipeline/database for RNA-seq database (14). RNA-seq data were trimmed for any adapter sequences using Adapter Removal (15).;PAIRED;;ILLUMINA;;;;;"Normal;Thyroid";;;;;Illumina HiSeq 2500 sequencing: GSM5048788: NAT Rep30 Homo sapiens RNA-Seq;;;Thyroid Gland;;
PRJEB14688;06/01/2017;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;ERR1514462;SAMEA4062960;Sample 26;Protocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;Sample 26_p;PCR;TRANSCRIPTOMIC;RNA-Seq;MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;PAIRED;;ILLUMINA;;;mesenchymal stem cell;;;;;;;Illumina HiSeq 2000 paired end sequencing: RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;some aged donors;cultured cells;Connective Tissue - Mesenchymal stem cell;;
PRJNA765370;27/11/2021;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;SRR16013049;SAMN21555487;OSCC_2-N;OSCC_2-N;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Nucleic acids were extracted fresh frozen OSCC tissue and matched normal (oral mucosa) using the Qiagen AllPrep Kit (Qiagen, Germantown, Maryland, USA) in accordance with the manufacturer's instructions with purification of DNA and RNA from the same sample. TruSeq Stranded Total RNA with Ribo-Zero Gold (Human, Mouse, Rat) ribosomal depletion;PAIRED;;ILLUMINA;;;;;oral mucosa;;;;;Illumina NovaSeq 6000 sequencing: GSM5593749: OSCC_2-N Homo sapiens RNA-Seq;;tumor-adjacent;Mouth - Mucosa;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094268;SAMN09011923;Sample_20 [RNA-seq];Sample_20 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124797: Sample_20 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA633861;01/07/2020;Transcriptomic changes of sigmoidal gut biopsies in psoriasis patients and healthy subjects;Transcriptomic changes of sigmoidal gut biopsies in psoriasis patients and healthy subjects;SRR11812189;SAMN14972286;7360: Healthy.7;7360: Healthy.7;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated using the RNeasy Plus Universal Kits (Qiagen) and processed as per manufacturer's instructions. libraries were prepared using the TruSeq Stranded Total RNA Library Prep kit (Illumina) with Ribo-Zero Gold, according to the manufacturer's instructions.;PAIRED;;ILLUMINA;;;;;sigmoidal colon;;;;;Illumina HiSeq 4000 sequencing: GSM4559708: 7360: Healthy.7 Homo sapiens RNA-Seq;;;Colon, Sigmoid colon;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013675;SAMN19988458;SJLB728;SJLB728;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412307: SJLB728 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094280;SAMN09011917;Sample_26 [RNA-seq];Sample_26 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124803: Sample_26 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA318642;11/08/2016;Transcriptome profiling of the human dorsal striatum in bipolar disorder;Homo sapiens;SRR3393493;SAMN04859344;control-3;control-3;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Frozen postmortem dorsal striatum samples were transferred to RNAlater-ICE (Ambion) and stored at -20C upon receipt. Total RNA was extracted from dissected caudate-putamen tissue by Trizol (Life Technologies), column-purified by the RNeasy Lipid Tissue Kit (Qiagen) and treated with the Turbo DNA-free Kit (Life Technologies). RNA samples were assayed on the BioAnalyzer (Agilent, Santa Clara, CA) to obtain RNA integrity number (RIN) values. Ribosomal RNA (rRNA) was depleted from samples using the RiboMinus Eukaryote Kit v2 (Life Technologies). Strand-specific cDNA libraries were made using the Next Ultra Directional RNA Library Prep Kit (NEB) and sequenced on the Illumina HiSeq2000.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM2124739: control-3 Homo sapiens RNA-Seq;;postmortem;Brain - Dorsal Striatum;;
PRJEB43164;21/05/2023;Bulk RNA-seq of paired human brown and white adipocytes;Bulk RNA-seq of paired human brown and white adipocytes;ERR5320459;SAMEA8103243;91_B_0;Protocols: Human adipose tissue was obtained from the central compartment of the neck, superior to the clavicle and deep to the lateral thyroid lobe either adjacent to the longus colli muscle or to the oesophagus (brown adipose tissue BAT) and more superficially from the subcutaneous neck tissue (white adipose tissue WAT). The stromal vascular fraction was isolated and cultured as described (Ramage, Akyol et al. 2016 doi: 10.1016/j.cmet.2016.06.011). Following differentiation, cells were cultured in serum-stripped medium for 48 hours prior to RNA extraction and subsequent bulk RNA-seq. Sample 91 – age (years): 41 sex: female height (m): 1.52 weight (Kg): 63.5 BMI (kg/m2): 27.48 Sample 92 – age (years): 59 sex: female height (m): 1.57 weight (Kg): 60.4 BMI (kg/m2): 24.50 Sample 93 – age (years): 52 sex: female height (m): 1.70 weight (Kg): 114 BMI (kg/m2): 39.45 Sample 95 – age (years): 50 sex: female height (m): 1.72 weight (Kg): 66 BMI (kg/m2): 22.31 Total RNA samples were assessed on the Agilent Bioanalyser (Agilent Technologies, #G2939AA) with the RNA 6000 Nano Kit (#5067-1511) for quality and integrity of total RNA. Samples were DNase-treated using the TURBO DNA-free™ kit (Thermo Fisher, #AM1907) and then quantified using the Qubit 2.0 Fluorometer (Thermo Fisher Scientific Inc, #Q32866) and the Qubit RNA BR assay kit (#Q10210), and assessed for residual DNA contamination using the Qubit dsDNA HS assay Kit (catalogue # Q32851). Libraries were prepared from each TURBO™ DNase treated total-RNA sample using the TruSeq Stranded Total RNA with Ribo-Zero kit (#RS-122-2201) according to the provided protocol. 100ng of total-RNA was processed to deplete rRNA before being purified, fragmented and primed with random hexamers. Primed RNA fragments were reverse transcribed into first strand cDNA using reverse transcriptase and random primers. RNA templates were removed and a replacement strand synthesised incorporating dUTP in place of dTTP to generate ds cDNA. AMPure XP beads (Beckman Coulter, #A63881) were then used to separate the ds cDNA from the second strand reaction mix, providing blunt-ended cDNA. A single 'A' nucleotide was added to the 3' ends of the blunt fragments to prevent them from ligating to another during the subsequent adapter ligation reaction, and a corresponding single 'T' nucleotide on the 3' end of the adapter provided a complementary overhang for ligating the adapter to the fragment. Multiple indexing adapters were then ligated to the ends of the ds cDNA to prepare them for hybridisation onto a flow cell, before 15 cycles of PCR were used to selectively enrich those DNA fragments that had adapter molecules on both ends and amplify the amount of DNA in the library suitable for sequencing. Libraries were quantified using the Qubit dsDNA HS kit and by PCR using the Kapa Universal Illumina Library Quantification kit complete kit (#KK4824) and assessed for quality using the Agilent Bioanalyser with the DNA HS Kit.;91_B_0_p;RT-PCR;GENOMIC;RNA-Seq;Human adipose tissue was obtained from the central compartment of the neck, superior to the clavicle and deep to the lateral thyroid lobe either adjacent to the longus colli muscle or to the oesophagus (brown adipose tissue BAT) and more superficially from the subcutaneous neck tissue (white adipose tissue WAT). The stromal vascular fraction was isolated and cultured as described (Ramage, Akyol et al. 2016 doi: 10.1016/j.cmet.2016.06.011). Following differentiation, cells were cultured in serum-stripped medium for 48 hours prior to RNA extraction and subsequent bulk RNA-seq. Sample 91 – age (years): 41 sex: female height (m): 1.52 weight (Kg): 63.5 BMI (kg/m2): 27.48 Sample 92 – age (years): 59 sex: female height (m): 1.57 weight (Kg): 60.4 BMI (kg/m2): 24.50 Sample 93 – age (years): 52 sex: female height (m): 1.70 weight (Kg): 114 BMI (kg/m2): 39.45 Sample 95 – age (years): 50 sex: female height (m): 1.72 weight (Kg): 66 BMI (kg/m2): 22.31 Total RNA samples were assessed on the Agilent Bioanalyser (Agilent Technologies, #G2939AA) with the RNA 6000 Nano Kit (#5067-1511) for quality and integrity of total RNA. Samples were DNase-treated using the TURBO DNA-free™ kit (Thermo Fisher, #AM1907) and then quantified using the Qubit 2.0 Fluorometer (Thermo Fisher Scientific Inc, #Q32866) and the Qubit RNA BR assay kit (#Q10210), and assessed for residual DNA contamination using the Qubit dsDNA HS assay Kit (catalogue # Q32851). Libraries were prepared from each TURBO™ DNase treated total-RNA sample using the TruSeq Stranded Total RNA with Ribo-Zero kit (#RS-122-2201) according to the provided protocol. 100ng of total-RNA was processed to deplete rRNA before being purified, fragmented and primed with random hexamers. Primed RNA fragments were reverse transcribed into first strand cDNA using reverse transcriptase and random primers. RNA templates were removed and a replacement strand synthesised incorporating dUTP in place of dTTP to generate ds cDNA. AMPure XP beads (Beckman Coulter, #A63881) were then used to separate the ds cDNA from the second strand reaction mix, providing blunt-ended cDNA. A single 'A' nucleotide was added to the 3' ends of the blunt fragments to prevent them from ligating to another during the subsequent adapter ligation reaction, and a corresponding single 'T' nucleotide on the 3' end of the adapter provided a complementary overhang for ligating the adapter to the fragment. Multiple indexing adapters were then ligated to the ends of the ds cDNA to prepare them for hybridisation onto a flow cell, before 15 cycles of PCR were used to selectively enrich those DNA fragments that had adapter molecules on both ends and amplify the amount of DNA in the library suitable for sequencing. Libraries were quantified using the Qubit dsDNA HS kit and by PCR using the Kapa Universal Illumina Library Quantification kit complete kit (#KK4824) and assessed for quality using the Agilent Bioanalyser with the DNA HS Kit.;PAIRED;;ILLUMINA;;;;;;;;;;NextSeq 550 sequencing: Bulk RNA-seq of paired human brown and white adipocytes;;cultured cells;Adipose - Subcutaneous;;
