code_uberon,name,synonym
UBERON:0007707,superior cerebellar peduncle of midbrain,"pedunculus cerebellaris superior (mesencephalon);SCPMB;SCPMB;superior cerebellar peduncle of midbrain;superior cerebellar peduncle of the midbrain"
UBERON:0007709,superior cerebellar peduncle of pons,"pedunculus cerebellaris superior (pontis);SCPP;SCPP;superior cerebellar peduncle of pons;superior cerebellar peduncle of the pons"
UBERON:0007710,intermediate nucleus of lateral lemniscus,"intermediate nucleus of the lateral lemniscus;nucleus of the lateral lemniscus horizontal part;nucleus of the lateral lemniscus, horizontal part"
UBERON:0007711,sixth cervical dorsal root ganglion,"C6 dorsal root ganglion;sixth cervical dorsal root ganglia;sixth cervical dorsal root ganglion;sixth cervical spinal ganglion"
UBERON:0007712,fourth thoracic spinal ganglion,"fourth thoracic dorsal root ganglion"
UBERON:0007713,fourth sacral spinal ganglion,"forth sacral dorsal root ganglion;fourth sacral dorsal root ganglion"
UBERON:0007714,cervical subsegment of spinal cord,"segment part of cervical spinal cord"
UBERON:0007715,thoracic subsegment of spinal cord,"segment part of thoracic spinal cord"
UBERON:0007716,lumbar subsegment of spinal cord,"segment part of lumbar spinal cord"
UBERON:0007717,sacral subsegment of spinal cord,"segment part of sacral spinal cord"
UBERON:0007718,principal artery to limb,""
UBERON:0007719,bone of reproductive organ,"baculum;os penis/os clitoris"
UBERON:0007721,interphalangeal joint of pes,"foot interphalangeal joint;hindlimb digit inter-phalangeal joint;interphalangeal joint of foot;interphalangeal joint of toe;toe joint"
UBERON:0007722,interphalangeal joint of manus,"articulationes digitorum manus;articulationes interphalangeae manus;articulations of the digits;interphalangeal articulations of hand;interphalangeal joint of finger;interphalangeal joint of hand;interphalangeal joints of hand;IP joint"
UBERON:0007723,interphalangeal joint of manual digit 1,"interphalangeal joint of first digit of hand;interphalangeal joint of hand digit 1;interphalangeal joint of manual digit 1;interphalangeal joint of manual digit I;interphalangeal joint of pollex;interphalangeal joint of thumb"
UBERON:0007724,interphalangeal joint of pedal digit 1,"interphalangeal joint of big toe;interphalangeal joint of first digit of foot;interphalangeal joint of first digit of pes;interphalangeal joint of first toe;interphalangeal joint of foot digit 1;interphalangeal joint of great toe;interphalangeal joint of hallux;interphalangeal joint of pedal digit 1;interphalangeal joint of pedal digit I"
UBERON:0007725,interphalangeal joint of pedal digit 2,"interphalangeal joint of pedal digit II;interphalangeal joint of second digit of foot;interphalangeal joint of second toe"
UBERON:0007726,interphalangeal joint of pedal digit 3,"interphalangeal joint of pedal digit III;interphalangeal joint of third digit of foot;interphalangeal joint of third toe"
UBERON:0007727,interphalangeal joint of pedal digit 4,"interphalangeal joint of fourth digit of foot;interphalangeal joint of fourth toe;interphalangeal joint of pedal digit IV"
UBERON:0007728,interphalangeal joint of pedal digit 5,"interphalangeal joint of fifth digit of foot;interphalangeal joint of fifth toe;interphalangeal joint of little toe;interphalangeal joint of pedal digit V"
UBERON:0007729,interphalangeal joint of manual digit 2,"interphalangeal joint of index finger;interphalangeal joint of manual digit II;interphalangeal joint of second digit of hand;interphalangeal joint of second finger"
UBERON:0007730,interphalangeal joint of manual digit 3,"interphalangeal joint of manual digit III;interphalangeal joint of middle finger;interphalangeal joint of third digit of hand;interphalangeal joint of third finger"
UBERON:0007731,interphalangeal joint of manual digit 4,"interphalangeal joint of fourth digit of hand;interphalangeal joint of fourth finger;interphalangeal joint of manual digit IV;interphalangeal joint of ring finger"
UBERON:0007732,interphalangeal joint of manual digit 5,"interphalangeal joint of fifth digit of hand;interphalangeal joint of fifth finger;interphalangeal joint of little finger;interphalangeal joint of manual digit V"
UBERON:0007735,metacarpophalangeal joint of manual digit 1,"metacarpo-phalangeal joint of digit 1 of fore-paw;metacarpophalangeal joint of digit 1;metacarpophalangeal joint of first digit of hand;metacarpophalangeal joint of manual digit I;metacarpophalangeal joint of thumb"
UBERON:0007738,metacarpophalangeal joint of manual digit 2,"metacarpo-phalangeal joint of digit 2 of fore-paw;metacarpophalangeal joint of digit 2;metacarpophalangeal joint of index finger;metacarpophalangeal joint of manual digit II;metacarpophalangeal joint of second digit of hand;metacarpophalangeal joint of second finger"
UBERON:0007741,metacarpophalangeal joint of manual digit 3,"carpometacarpophalangeal joint of third digit;metacarpo-phalangeal joint of digit 3 of fore-paw;metacarpophalangeal joint of digit 3;metacarpophalangeal joint of manual digit III;metacarpophalangeal joint of middle finger;metacarpophalangeal joint of third digit of hand;metacarpophalangeal joint of third finger"
UBERON:0007744,metacarpophalangeal joint of manual digit 4,"carpometacarpophalangeal joint of fourth digit;metacarpo-phalangeal joint of digit 4 of fore-paw;metacarpophalangeal joint of digit 4;metacarpophalangeal joint of fourth digit of hand;metacarpophalangeal joint of fourth finger;metacarpophalangeal joint of manual digit IV;metacarpophalangeal joint of ring finger"
UBERON:0007747,metacarpophalangeal joint of manual digit 5,"metacarpo-phalangeal joint of digit 5 of fore-paw;metacarpophalangeal joint of digit 5;metacarpophalangeal joint of fifth digit of hand;metacarpophalangeal joint of fifth finger;metacarpophalangeal joint of little finger;metacarpophalangeal joint of manual digit V"
UBERON:0007750,metatarsophalangeal joint of pedal digit 1,"first metatarsophalangeal joint;metatarsophalangeal joint of big toe;metatarsophalangeal joint of first digit of foot;metatarsophalangeal joint of first toe;metatarsophalangeal joint of great toe;metatarsophalangeal joint of pedal digit I"
UBERON:0007753,metatarsophalangeal joint of pedal digit 2,"metatarsophalangeal joint of pedal digit II;metatarsophalangeal joint of second digit of foot;metatarsophalangeal joint of second toe"
UBERON:0007756,metatarsophalangeal joint of pedal digit 3,"metatarsophalangeal joint of pedal digit III;metatarsophalangeal joint of third digit of foot;metatarsophalangeal joint of third toe"
UBERON:0007759,metatarsophalangeal joint of pedal digit 4,"metatarsophalangeal joint of fourth digit of foot;metatarsophalangeal joint of fourth toe;metatarsophalangeal joint of pedal digit IV"
