run_accession	first_public	study_title	project_name	study_accession	sample_accession	sample_title	sample_description	library_name	library_selection	library_source	library_strategy	library_construction_protocol	library_layout	rna_integrity_num	instrument_platform	rt_prep_protocol	cell_line	cell_type	tissue_lib	tissue_type	host_phenotype	isolate	age	host_body_site	sampling_site	base_count	description	sample_metadata_ncbi	study_metadata_ncbi
SRR5259635	2018-02-17	Chemoprevention with COX2 and EGFR inhibition in FAP patients: mRNA signatures of duodenal neoplasia	Homo sapiens	PRJNA374861	SAMN06339161	Base_Pt9	Base_Pt9		cDNA	TRANSCRIPTOMIC	RNA-Seq	Qiagen RNAeasy Mini kit Illumina TruSeq Stranded Total RNA treated with Ribozero Gold, 50 cycle single end reads	SINGLE		ILLUMINA					Uninvolved						2791066500	Illumina HiSeq 2500 sequencing: GSM2491883: Base_Pt9 Homo sapiens RNA-Seq	SRS1981025SAMN06339161GSM2491883Base_Pt99606Homo sapiensbioproject374861PRJNA374861source_nameDuodenumpatient cohortFamilial adenomatous polyposistissueUninvolvedtimepointBaselinetreatmentNonepatient numberPt-9	SRP099844PRJNA374861GSE94919Chemoprevention with COX2 and EGFR inhibition in FAP patients: mRNA signatures of duodenal neoplasiaRNA sequencing of duodenal polyps in FAP patients treated with plabebo or the drug combination, erlotinib + sulindac Overall design: 69 duodenal RNA sequencing datasets (17 baseline uninvolved from 17 FAP patients, 10 endpoint uninvolved and 16 polyp from 10 FAP patients on placebo, 10 endpont uninvolved and 16 polyp from 10 FAP patients on drug)GSE94919pubmed29109117
SRR8052756	2019-01-27	Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort	Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohort	PRJNA496323	SAMN10238622	CTRL_009_healthy	CTRL_009_healthy		cDNA	TRANSCRIPTOMIC	RNA-Seq	5mm skin punch biopsies were stored in PaxGene tissue containers (PreAnalytiX) at -80°C until isolation of total RNA with the Qiagen AllPrep DNA/RNA Mini Kit preceded by an additional disruption/homogenization step with innuSPEED Lysis Tubes W (Analytik Jena) and Qiagen QIAshredder spin-columns. RNA samples were prepared for sequencing using the Illumina Truseq® Stranded total RNA Protocol in combination with the RiboZero rRNA removal Kit and sequenced on the HiSeq2500 with 2x125bp.	PAIRED		ILLUMINA											7269793272	Illumina HiSeq 2500 sequencing: GSM3427916: CTRL_009_healthy Homo sapiens RNA-Seq	SRS3931208SAMN10238622GSM3427916CTRL_009_healthy9606Homo sapiensbioproject496323PRJNA496323source_nameskin biopsyskin typehealthy	SRP165679PRJNA496323GSE121212Atopic Dermatitis, Psoriasis and healthy control RNA-seq cohortTo gain a deeper understanding of the pathophysiology of AD, we conducted a large-scale transcriptomic study of AD with deeply-sequenced RNA-seq samples using long (125b) paired-end reads. By integrating deep sequencing-based skin transcriptome profiling with systems biology analysis, we are able to provide deep characterization for the expression signatures for AD, and by including psoriasis samples in the analysis, we can reveal the distinct molecular features of uninvolved and lesional skin of AD that have not been previously described. Overall design: We performed high-depth sequencing of 147 skin transcriptomes obtained from a carefully matched and tightly defined cohort of 27 AD patients, 28 PSO patients, and 38 healthy controls, whom were recruited within an ongoing investigator-initiated clinical study to identify shared and distinct disease mechanisms of AD and Psoriasis.GSE121212pubmed30641038pubmed35862195pubmed31891686
SRR14027948	2023-02-27	Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients	Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients	PRJNA716181	SAMN18397173	RNA_P6N	RNA_P6N		cDNA	TRANSCRIPTOMIC	RNA-Seq	Samples were treated with 1mL TRIzol reagent according to manufacturer's instructions. Nanodrop ND-1000 was used for RNA density/purity detection. Agilent BioAnalyzer 2100 was used for RNA quality control. rRNA depletion was conducted before RNA-seq library preparation using TruSeq Stranded Total RNA Library Prep Kit. The libraries were constructed using TruSeq Stranded Total RNA with Ribo-Zero Gold according to the manufacturer's instructions.	PAIRED		ILLUMINA					Adjacent tissue						17255618400	Illumina HiSeq 2500 sequencing: GSM5194556: RNA_P6N Homo sapiens RNA-Seq	SRS8526997SAMN18397173GSM5194556RNA_P6N9606Homo sapiensbioproject716181PRJNA716181source_nameAdjacent tissuetissueAdjacent tissue	SRP311582PRJNA716181GSE169289Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patientsHepatocellular carcinoma is a poor prognosis cancer leading to death, with high rate of recurrence after curative therapy. The functions of Covalently closed circular RNA (circRNAs) in HCC recurrence have remained largely unknown. In this study, we generated multi-omics data to explore the circRNAs involving in the HCC recurrence. Overall design: Transcriptome RNA sequencing data of tumors and paired adjacent tissues from HCC patientsGSE169289pubmed36797228parent_bioprojectPRJNA716508
SRR915768	2014-04-15	RNA-seq identifies novel transcript elements and transcript processing in the normal and failing hearts	Homo sapiens	PRJNA209081	SAMN02209930	control rep5	control rep5		cDNA	TRANSCRIPTOMIC	RNA-Seq	RNA was extracted with Trizol (Invitrogen) and further purified on RNeasy columns (Qiagen) with on column DNase digestion. Ribosomal RNA was depleted using the RiboMinus kit (Invitrogen). 1 µg rRNA-depleted RNA was used for the construction of sequencing libraries Illumina RNA-seq libraries were prepared from rRNA-depleted samples using the standard Illumina protocol. SOLiD RNA-seq libraries were prepared from a pool of all of 15 ICM samples and a pool of all of 15 Ctrl samples using the standard SOLiD strand-specific library protocol.	PAIRED		ILLUMINA					heart						1348754688	Illumina Genome Analyzer II sequencing: GSM1171553: control rep5 Homo sapiens RNA-Seq	SRS449721SAMN02209930GSM1171553control rep59606Homo sapiensbioproject209081PRJNA209081source_namehearttissueheartdiagnosiscontrol	SRP026208PRJNA209081GSE48166RNA-seq identifies novel transcript elements and transcript processing in the normal and failing heartsChanges in gene expression contribute to the pathogenesis of heart failure. The sequence, expression level, and structure of the human cardiac transcriptome are incompletely described, as are their changes in heart disease. High throughput transcriptome sequencing (RNA-seq) is a quantitative and unbiased approach to measure transcript level and to identify novel transcribed elements or transcript splicing. Here we acquired 975.2 x 106 mapped RNA-seq reads in 15 control and 15 ischemic cardiomyopathy (ICM) hearts, obtained at the time of heart transplantation. We identified over 1000 differentially expressed transcripts, and thousands of novel transcribed elements, some of which were differentially expressed in between control and ICM groups. We found that transcript processing of several cardiac genes was deranged in ICM. For instance, the ratio between specific MYH6 exons was significantly changed in ICM compared to controls, while this type of inter-exon variation was not observed for the adjoining gene MYH7. This RNA-seq study of the human heart failure transcriptome revealed the diversity of transcripts expressed in the human heart and their complex patterns of expression in the diseased heart. Overall design: Transcriptome profiling (RNA-seq) of 15 control and 15 ischemic cardiomyopathy (ICM) hearts using Illumina GAII and SOLiDGSE48166
SRR3393505	2016-08-11	Transcriptome profiling of the human dorsal striatum in bipolar disorder	Homo sapiens	PRJNA318642	SAMN04859290	control-32	control-32		cDNA	TRANSCRIPTOMIC	RNA-Seq	Frozen postmortem dorsal striatum samples were transferred to RNAlater-ICE (Ambion) and stored at -20C upon receipt. Total RNA was extracted from dissected caudate-putamen tissue by Trizol (Life Technologies), column-purified by the RNeasy Lipid Tissue Kit (Qiagen) and treated with the Turbo DNA-free Kit (Life Technologies). RNA samples were assayed on the BioAnalyzer (Agilent, Santa Clara, CA) to obtain RNA integrity number (RIN) values. Ribosomal RNA (rRNA) was depleted from samples using the RiboMinus Eukaryote Kit v2 (Life Technologies). Strand-specific cDNA libraries were made using the Next Ultra Directional RNA Library Prep Kit (NEB) and sequenced on the Illumina HiSeq2000.	SINGLE		ILLUMINA											3332127600	Illumina HiSeq 2000 sequencing: GSM2124751: control-32 Homo sapiens RNA-Seq	SRS1399501SAMN04859290GSM2124751control-329606Homo sapiensbioproject318642PRJNA318642source_namedorsal striatum, controlSexfemalerin2.2	SRP073382PRJNA318642GSE80336Transcriptome profiling of the human dorsal striatum in bipolar disorderBipolar disorder (BD) is a highly heritable and heterogeneous mental illness whose manifestations often include impulsive and risk-taking behavior. This particular phenotype suggests that abnormal striatal function could be involved in BD etiology, yet most transcriptomic studies of this disorder have concentrated on cortical brain regions. We report the first transcriptome profiling by RNA-Seq of the human dorsal striatum comparing bipolar and control subjects. Differential expression analysis and functional pathway enrichment analysis were performed to identify changes in gene expression that correlate with BD status. Further co-expression and enrichment analyses were performed to identify sets of correlated genes that show association to BD. Overall design: Total RNA samples were isolated from 36 postmortem dorsal striatum subjects (18 bipolar and 18 control) and sequenced. One outlier sample was removed and 35 samples (18 bipolar and 17 control) were analyzed.GSE80336pubmed27350034
SRR22283231	2023-02-02	COVID-19 patient samples collected by the PREDICT-19 consortium	COVID-19 patient samples collected by the PREDICT-19 consortium	PRJNA901461	SAMN31714280	Whole blood, healthy control, rep 10	Whole blood, healthy control, rep 10		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).	PAIRED		ILLUMINA					Whole blood						31950762000	Illumina NovaSeq 6000 sequencing: GSM6730800: Whole blood, healthy control, rep 10 Homo sapiens RNA-Seq	SRS15751522SAMN31714280GSM6730800Whole blood, healthy control, rep 109606Homo sapiensbioproject901461PRJNA901461source_nameWhole bloodtissueWhole blooddisease statecontrol	SRP407875PRJNA901461GSE217948COVID-19 patient samples collected by the PREDICT-19 consortiumTo investigate the role of gene expression in patients with COVID-19. Full article available at DOI: 10.1136/bmjopen-2020-044497. Overall design: Comparative gene expression profiling analysis of patients wiith COVID-19 and control samplesGSE217948pubmed36741372pubmed36768847
ERR1514452	2017-01-06	RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs	RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs	PRJEB14688	SAMEA4062950	Sample 17	Protocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.	Sample 17_p	PCR	TRANSCRIPTOMIC	RNA-Seq	MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.	PAIRED		ILLUMINA			tenocyte								6592293827	Illumina HiSeq 2000 paired end sequencing: RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs	ERS1234060SAMEA4062950Sample 179606Homo sapiensProtocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.ENA first public2017-01-06ENA last update2016-07-04External IdSAMEA4062950INSDC center aliasMusculoskeletal Biology, Institute of Ageing and Chronic Disaese, Leahurst, Chester High Road, Neston, Wirral, CH647TEINSDC center nameMusculoskeletal Biology, Institute of Ageing and Chronic Disaese, Leahurst, Chester High Road, Neston, Wirral, CH647TEINSDC first public2017-01-06T17:01:24ZINSDC last update2016-07-04T22:45:30ZINSDC statuspublicSubmitter IdE-MTAB-4879:Sample 17broker nameArrayExpresscell typetenocytecommon namehumandevelopmental stageyoung adultsample nameE-MTAB-4879:Sample 17	ERP016347PRJEB14688E-MTAB-4879RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructsHuman bone-marrow-derived mesenchymal stem cells from young and old donors  and tenogenic, chondrogenic and osteogenic constructs derived from these were subject to RNASeq and miRNASeq. We wished to identify common pathways of musculoskeletal ageing.Human bone-marrow-derived mesenchymal stem cells from young and old donors  and tenogenic, chondrogenic and osteogenic constructs derived from these were subject to RNASeq and miRNASeq. We wished to identify common pathways of musculoskeletal ageing.E-MTAB-4879 in ArrayExpresshttp://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4879ENA-FIRST-PUBLIC2017-01-06ENA-LAST-UPDATE2016-07-04ArrayExpressE-MTAB-4879
SRR15013462	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988507	SJLB754	SJLB754		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						5221138176	Illumina HiSeq 2000 sequencing: GSM5412319: SJLB754 Homo sapiens RNA-Seq	SRS9359655SAMN19988507GSM5412319SJLB7549606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexfemaleage49	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR13771797	2021-03-01	Using lncRNA sequencing to reveal a putative lncRNA-mRNA correlation network and potential role of PCBP1-AS1 in pathogenesis of cervical cancer	Using lncRNA sequencing to reveal a putative lncRNA-mRNA correlation network and potential role of PCBP1-AS1 in pathogenesis of cervical cancer	PRJNA704389	SAMN18039494	XHXZC	XHXZC		cDNA	TRANSCRIPTOMIC	RNA-Seq	Cervical cancer tissues and adjacent tissues were removed, flash frozen on dry ice, and RNA was harvested using Trizol reagent (Thermo). Illumina TruSeq Stranded Total RNA with Ribo-Zero (Cat# 20020612) was used with 1 ug of total RNA for the construction of sequencing libraries. RNA libraries were prepared for sequencing using standard Illumina protocols	PAIRED		ILLUMINA					adjacent tissue						11558784900	Illumina NovaSeq 6000 sequencing: GSM5102897: XHXZC Homo sapiens RNA-Seq	SRS8309425SAMN18039494GSM5102897XHXZC9606Homo sapiensbioproject704389PRJNA704389source_nameadjacent tissuedisease statecervical cancerage46tissueadjacent tissue	SRP307765PRJNA704389GSE167362Using lncRNA sequencing to reveal a putative lncRNA-mRNA correlation network and potential role of PCBP1-AS1 in pathogenesis of cervical cancerThe aim of this study was to construct a lncRNA-mRNA co-expression function network and analyze lncRNAs that might contribute to the pathogenesis of cervical cancer. Transcriptome analysis of 3 cervical cancer samples and 3 adjacent tissue samples was completed in this project.LncRNA-mRNA correlation analysis, enrichment of functions, qPCR, K-M survival, clinicopathology analysis, GSEA and immune infiltration analysis were implemented. Total of 67.600 GB of Clean Data (sequencing Data after quality control) was obtained. The average amount of Clean Data of each sample was 11.267 GB, the percentage of Q30 base was above 91.18%, and the GC content was between 45.46% and 47.18%.Reference species: human;Reference genomic version: GRCH38;Reference genome source: http://asia.ensembl.org/Homo_sapiens/Info/Index;The sequencing data of each sample after quality control was compared with the specified reference genome, and the matching rates ranged from 95.957% to 97.270%, and the unique matching rates ranged from 91.363% to 94.258%. Transcriptomic and lncRNA-mRNA correlation analysis revealed PCBP1-AS1 plays a key role as an independent prognostic factor in patients with cervical cancer. Overall design: LncRNA profiles of 3 cervical cancer samples and 3 adjacent tissue samplesGSE167362pubmed33833992
SRR22966273	2023-02-27	Rhinoviruses and enterovirus-D68 replicate more robustly in respiratory tissues originating from asthmatic patients compared to non-asthmatic controls	Rhinoviruses and enterovirus-D68 replicate more robustly in respiratory tissues originating from asthmatic patients compared to non-asthmatic controls	PRJNA918345	SAMN32574201	B48_Asthma_1_L5	B48_Asthma_1_L5	GSM6915311	cDNA	TRANSCRIPTOMIC	RNA-Seq	human airway epithlia from healthy versus asthmatic donors have been infected or not with rhinoviruses. Infected and non-infected tissues were lysed in 800l of trizol (Ambion, 5596018) and RNA was extracted according to manufacturer's instruction. The TruSeq Stranded total RNA kit with Ribo-Zero Gold was used for the library preparation with 150 ng of total RNA as input. The 18 libraries were pooled at equimolarity and loaded at 8.5 pM for clustering on a single-read Illumina Flow cell. All 100-base sequencing was performed using the TruSeq SBS HS v3 chemistry on an Illumina HiSeq 2500 sequencer	SINGLE		ILLUMINA		differentiated primary cells	epitheial		airway epithelia						1011149200	Illumina HiSeq 2500 sequencing: GSM6915311: B48_Asthma_1_L5 Homo sapiens RNA-Seq	SRS16348719SAMN32574201GSM6915311B48_Asthma_1_L59606Homo sapiensbioproject918345PRJNA918345source_nameairway epitheliadisease stateAsthmatissueairway epitheliacell linedifferentiated primary cellscell typeepitheialgenotypewttreatmentRhinovirus B48 infection	SRP415721PRJNA918345GSE222129Rhinoviruses and enterovirus-D68 replicate more robustly in respiratory tissues originating from asthmatic patients compared to non-asthmatic controlsInvestigation of the mechanism leading to differential rhinovirus infection in airway epithelia from healty versus asthmatic patients Overall design: Transcriptomic comparison of Human airway epithelia from healthy versus asthmatic patients infected with Rhinoviruses RV-48 or RV-15. Non-infected tissues from the same groups (mock) have been used as negative controlsGSE222129pubmed36937308
SRR16013049	2021-11-27	RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients	RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients	PRJNA765370	SAMN21555487	OSCC_2-N	OSCC_2-N		cDNA	TRANSCRIPTOMIC	RNA-Seq	Nucleic acids were extracted fresh frozen OSCC tissue and matched normal (oral mucosa) using the Qiagen AllPrep Kit (Qiagen, Germantown, Maryland, USA) in accordance with the manufacturer's instructions with purification of DNA and RNA from the same sample. TruSeq Stranded Total RNA with Ribo-Zero Gold (Human, Mouse, Rat) ribosomal depletion	PAIRED		ILLUMINA					oral mucosa						20136339900	Illumina NovaSeq 6000 sequencing: GSM5593749: OSCC_2-N Homo sapiens RNA-Seq	SRS10273643SAMN21555487GSM5593749OSCC_2-N9606Homo sapiensbioproject765370PRJNA765370source_nameTonguepatient diagnosisHPV-negative Oral Squamous Cell Carcinomapatient idOSCC_2tissueoral mucosaconditionAdjacent Normalage33gendermalesmokingNo	SRP338257PRJNA765370GSE184616RNA-seq of HPV-negative Oral Squamous Cell Carcinoma PatientsStrand-specific, paired-end, total RNA-sequencing data for fifteen Australian, HPV-negative, young oral squamous cell carcinoma patients of primary tumour and adjacent normal. Overall design: 30 samples belonging to 15 patients (tumour-normal pairs)GSE184616pubmed34912708
SRR1721302	2015-06-27	Tissue-specific circular RNA induction during human fetal development	Homo sapiens	PRJNA270632	SAMN03267770	Lung_10wkB	Lung_10wkB		cDNA	TRANSCRIPTOMIC	RNA-Seq	Fetal tissue samples <100 mg in size were placed into DNase- and RNase-free 1.5 ml microfuge tubes containing 1 ml of RNAlater RNA Stabilization Reagent (Qiagen) within 1 hour of the pregnancy termination procedure. After storage at room temperature for a period of 24-72 h, excess RNAlater was removed from the microfuge tubes and the samples were placed in the -80oC freezer for storage until RNA isolation was performed. The tissues were lysed in mirVana (Life Technologies) lysis buffer, using a Mini-Beadbeater-16 (Biospec), with agitation for 1 min in the presence of 1 mm zirconia beads. Samples were then centrifuged at maximum speed in a tabletop microcentrifuge for 1 min and the lysed solution was transferred to a fresh microfuge tube. The remainder of the extraction was per the manufacturer's protocol for the mirVana kit (Life Technologies). Following RNA isolation (mirVana miRNA Isolation Kit, Life Technologies, Inc.), the RNA was quantified (Qubit RNA Assay Kit, Life Technologies, Inc.), and quality controlled (RNA6000 Nano Kit and BioAnalyzer 2100, Agilent). 200 ng to 1000 ng was used as input for the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold sample prep kit (Illumina, Inc.) and sequencing libraries were created according to the manufacturer’s protocol. Briefly, first both cytoplasmic and mitochondrial rRNA was removed by selectively hybridizing biotinylated probes to target sequences and using magnetic beads to capture the bound products. Following rRNA removal, the RNA was fragmented and copied into first strand cDNA using random primers and reverse transcriptase. Next, second strand cDNA synthesis was completed using DNA Polymerase I and RNase H. The cDNA was then ligated to Illumina supplied adapters and enriched with PCR to create the final cDNA libraries. The libraries were then pooled and sequenced on a HiSeq 2000 (Illumina, Inc.) instrument as per manufacturer’s instructions. Sequencing was performed up to 2 X 101 cycles.	PAIRED		ILLUMINA											5656682000	Illumina HiSeq 2000 sequencing: GSM1567934: Lung_10wkB Homo sapiens RNA-Seq	SRS795860SAMN03267770GSM1567934GEO accession GSM1567934 is currently private and is scheduled to be released on Dec 31, 2015.9606Homo sapiens	SRP051249PRJNA270632GSE64283Tissue-specific circular RNA induction during human fetal developmentThe pervasive expression of circular RNA from protein coding loci is a recently discovered feature of many eukaryotic gene expression programs.  Computational methods to discover and quantify circular RNA are essential to the study of the mechanisms of circular RNA biogenesis and potential functional roles they may play.  In this paper, we present a new statistical algorithm that increases the sensitivity and specificity of circular RNA detection.by discovering and quantifying circular and linear RNA splicing events at both annotated exon boundaries and in un-annotated regions of the genome  Unlike previous approaches which rely on heuristics like read count and homology between exons predicted to be circularized to determine confidence in  prediction of circular RNA expression, our algorithm is a statistical approach. We have used this algorithm to discover general induction of circular RNAs in many tissues during human fetal development.  We find that some regions of the brain show marked enrichment for genes where circular RNA is the dominant isoform. Beyond this global trend, specific circular RNAs are tissue specifically induced during fetal development, including a circular isoform of NCX1 in the developing fetal heart that, by 20 weeks, is more highly expressed than the linear isoform as well as beta-actin. In addition, while the vast majority of circular RNA production occurs at canonical U2 (major spliceosome) splice sites, we find the first examples of developmentally induced circular RNAs processed by the U12 (minor) spliceosome, and an enriched propensity of U12 donors to splice into circular RNA at un-annotated, rather than annotated, exons.  Together, our algorithm and its results suggest a potentially significant role for circular RNA in human development. Overall design: 35 human fetal samples from 6 tissues (3 - 7 replicates per tissue) collected between 10 and 20 weeks gestational time were sequenced using Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold sample prep kit.GSE64283pubmed26076956
SRR10173253	2019-10-30	A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell Carcinoma	A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell Carcinoma	PRJNA533799	SAMN12828238	Patient_18_normal	Patient_18_normal		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from ESCC tissues using TRIzol reagent (Invitrogen) for construction of RNA-seq libraries. The sequencing library was prepared from 1 ug of total RNA using Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Human/Mouse/Rat (RS-122-2203).	PAIRED		ILLUMINA					ESCC						6585352308	Illumina HiSeq 2000 sequencing: GSM4094349: Patient_18_normal Homo sapiens RNA-Seq	SRS5427795SAMN12828238GSM4094349Patient_18_normal9606Homo sapiensbioproject533799PRJNA533799source_nameESCC adjacent normal tissuetissue_typeESCCsample_typenormal	SRP193095PRJNA533799GSE130078A Novel LincRNA HERES Epigenetically Regulates Wnt Signaling Pathway via Interaction with EZH2 in Esophageal Squamous Cell CarcinomaEsophageal squamous cell carcinoma (ESCC), a major type of primary esophageal cancer in developing countries, displays a very poor clinical outcome in five-year survival rate. Although long non-coding RNAs (lncRNAs) exert critical roles in cancer development, the promising therapeutic targets of ESCC-expressed lncRNAs have not been comprehensively examined and their cancer-driving roles remain largely unknown at the mechanistic level. In this study, we aimed to identify ESCC-driving lncRNAs in the transcriptome level and exploit a therapeutic target with understanidng their modes of action. Overall design: High-throughput RNA sequencing (RNA-seq) was performed with rRNA-depleted, total RNAs prepared from paired cancerous and non-cancerous tissues of 23 Korean ESCC patients, and the RNA-seq data were profiled to identify ESCC-driving lncRNAs.GSE130078pubmed31732666
SRR3393521	2016-08-11	Transcriptome profiling of the human dorsal striatum in bipolar disorder	Homo sapiens	PRJNA318642	SAMN04859304	bipolar-25	bipolar-25		cDNA	TRANSCRIPTOMIC	RNA-Seq	Frozen postmortem dorsal striatum samples were transferred to RNAlater-ICE (Ambion) and stored at -20C upon receipt. Total RNA was extracted from dissected caudate-putamen tissue by Trizol (Life Technologies), column-purified by the RNeasy Lipid Tissue Kit (Qiagen) and treated with the Turbo DNA-free Kit (Life Technologies). RNA samples were assayed on the BioAnalyzer (Agilent, Santa Clara, CA) to obtain RNA integrity number (RIN) values. Ribosomal RNA (rRNA) was depleted from samples using the RiboMinus Eukaryote Kit v2 (Life Technologies). Strand-specific cDNA libraries were made using the Next Ultra Directional RNA Library Prep Kit (NEB) and sequenced on the Illumina HiSeq2000.	SINGLE		ILLUMINA											9488990300	Illumina HiSeq 2000 sequencing: GSM2124767: bipolar-25 Homo sapiens RNA-Seq	SRS1399486SAMN04859304GSM2124767bipolar-259606Homo sapiensbioproject318642PRJNA318642source_namedorsal striatum, bipolarSexfemalerin3.4	SRP073382PRJNA318642GSE80336Transcriptome profiling of the human dorsal striatum in bipolar disorderBipolar disorder (BD) is a highly heritable and heterogeneous mental illness whose manifestations often include impulsive and risk-taking behavior. This particular phenotype suggests that abnormal striatal function could be involved in BD etiology, yet most transcriptomic studies of this disorder have concentrated on cortical brain regions. We report the first transcriptome profiling by RNA-Seq of the human dorsal striatum comparing bipolar and control subjects. Differential expression analysis and functional pathway enrichment analysis were performed to identify changes in gene expression that correlate with BD status. Further co-expression and enrichment analyses were performed to identify sets of correlated genes that show association to BD. Overall design: Total RNA samples were isolated from 36 postmortem dorsal striatum subjects (18 bipolar and 18 control) and sequenced. One outlier sample was removed and 35 samples (18 bipolar and 17 control) were analyzed.GSE80336pubmed27350034
